id,nome,regiao,subregiao
CUW,Curacao ,Americas,Latin America and the Caribbean
CYP,Cyprus,Asia,Western Asia
CZE,Czechia,Europe,Eastern Europe
PRK,Dem. People's Rep. of Korea,Asia,Eastern Asia
COD,Dem. Rep. of the Congo,Africa,Sub-Saharan Africa
DNK,Denmark,Europe,Northern Europe
DJI,Djibouti,Africa,Sub-Saharan Africa
DMA,Dominica,Americas,Latin America and the Caribbean
DOM,Dominican Rep.,Americas,Latin America and the Caribbean
ECU,Ecuador,Americas,Latin America and the Caribbean
EGY,Egypt,Africa,Northern Africa
SLV,El Salvador,Americas,Latin America and the Caribbean
GNQ,Equatorial Guinea,Africa,Sub-Saharan Africa
ERI,Eritrea,Africa,Sub-Saharan Africa
EST,Estonia,Europe,Northern Europe
SWZ,Eswatini,Africa,Sub-Saharan Africa
ETH,Ethiopia,Africa,Sub-Saharan Africa
FRO,Faeroe Islands,Europe,Northern Europe
FJI,Fiji,Oceania,Melanesia
FIN,Finland,Europe,Northern Europe
FRA,France,Europe,Western Europe
GUF,French Guiana,Americas,Latin America and the Caribbean
PYF,French Polynesia,Oceania,Polynesia
GAB,Gabon,Africa,Sub-Saharan Africa
GMB,Gambia,Africa,Sub-Saharan Africa
GEO,Georgia,Asia,Western Asia
DEU,Germany,Europe,Western Europe
GHA,Ghana,Africa,Sub-Saharan Africa
GIB,Gibraltar,Europe,Southern Europe
GRC,Greece,Europe,Southern Europe
GRL,Greenland,Americas,Northern America
GRD,Grenada,Americas,Latin America and the Caribbean
GLP,Guadeloupe,Americas,Latin America and the Caribbean
GUM,Guam,Oceania,Micronesia
GTM,Guatemala,Americas,Latin America and the Caribbean
GIN,Guinea,Africa,Sub-Saharan Africa
GNB,Guinea-Bissau,Africa,Sub-Saharan Africa
GUY,Guyana,Americas,Latin America and the Caribbean
HTI,Haiti,Americas,Latin America and the Caribbean
VAT,Holy See,Europe,Southern Europe
HND,Honduras,Americas,Latin America and the Caribbean
HUN,Hungary,Europe,Eastern Europe
ISL,Iceland,Europe,Northern Europe
IND,India,Asia,Southern Asia
IDN,Indonesia,Asia,South-eastern Asia
IRN,Iran (Islamic Rep. of),Asia,Southern Asia
IRQ,Iraq,Asia,Western Asia
IRL,Ireland,Europe,Northern Europe
ISR,Israel,Asia,Western Asia
ITA,Italy,Europe,Southern Europe
JAM,Jamaica,Americas,Latin America and the Caribbean
JPN,Japan,Asia,Eastern Asia
JOR,Jordan,Asia,Western Asia
KAZ,Kazakhstan,Asia,Central Asia
KEN,Kenya,Africa,Sub-Saharan Africa
KIR,Kiribati,Oceania,Micronesia
KWT,Kuwait,Asia,Western Asia
KGZ,Kyrgyzstan,Asia,Central Asia
LAO,Lao People's Dem. Rep.,Asia,South-eastern Asia
LVA,Latvia,Europe,Northern Europe
LBN,Lebanon,Asia,Western Asia
LSO,Lesotho,Africa,Sub-Saharan Africa
LBR,Liberia,Africa,Sub-Saharan Africa
LBY,Libya,Africa,Northern Africa
LIE,Liechtenstein,Europe,Western Europe
LTU,Lithuania,Europe,Northern Europe
LUX,Luxembourg,Europe,Western Europe
MDG,Madagascar,Africa,Sub-Saharan Africa
MWI,Malawi,Africa,Sub-Saharan Africa
MYS,Malaysia,Asia,South-eastern Asia
MDV,Maldives,Asia,Southern Asia
MLI,Mali,Africa,Sub-Saharan Africa
MLT,Malta,Europe,Southern Europe
MHL,Marshall Islands,Oceania,Micronesia
MTQ,Martinique,Americas,Latin America and the Caribbean
MRT,Mauritania,Africa,Sub-Saharan Africa
MUS,Mauritius,Africa,Sub-Saharan Africa
MEX,Mexico,Americas,Latin America and the Caribbean
FSM,Micronesia (Federated States of),Oceania,Micronesia
MCO,Monaco,Europe,Western Europe
MNG,Mongolia,Asia,Eastern Asia
MNE,Montenegro,Europe,Southern Europe
MSR,Montserrat,Americas,Latin America and the Caribbean
MAR,Morocco,Africa,Northern Africa
MOZ,Mozambique,Africa,Sub-Saharan Africa
MMR,Myanmar,Asia,South-eastern Asia
NAM,Namibia,Africa,Sub-Saharan Africa
NRU,Nauru,Oceania,Micronesia
NPL,Nepal,Asia,Southern Asia
NLD,Netherlands (Kingdom of the),Europe,Western Europe
NCL,New Caledonia,Oceania,Melanesia
NZL,New Zealand,Oceania,Australia and New Zealand
NIC,Nicaragua,Americas,Latin America and the Caribbean
NER,Niger,Africa,Sub-Saharan Africa
NGA,Nigeria,Africa,Sub-Saharan Africa
NIU,Niue,Oceania,Polynesia
MKD,North Macedonia,Europe,Southern Europe
MNP,Northern Mariana Islands,Oceania,Micronesia
NOR,Norway,Europe,Northern Europe
OMN,Oman,Asia,Western Asia
PAK,Pakistan,Asia,Southern Asia
PLW,Palau,Oceania,Micronesia
PAN,Panama,Americas,Latin America and the Caribbean
PNG,Papua New Guinea,Oceania,Melanesia
PRY,Paraguay,Americas,Latin America and the Caribbean
PER,Peru,Americas,Latin America and the Caribbean
PHL,Philippines,Asia,South-eastern Asia
POL,Poland,Europe,Eastern Europe
PRT,Portugal,Europe,Southern Europe
PRI,Puerto Rico,Americas,Latin America and the Caribbean
QAT,Qatar,Asia,Western Asia
KOR,Rep. of Korea,Asia,Eastern Asia
MDA,Rep. of Moldova,Europe,Eastern Europe
REU,Reunion,Africa,Sub-Saharan Africa
ROU,Romania,Europe,Eastern Europe
RUS,Russian Federation,Europe,Eastern Europe
RWA,Rwanda,Africa,Sub-Saharan Africa
KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean
LCA,Saint Lucia,Americas,Latin America and the Caribbean
VCT,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean
MAF,Saint-Martin (French part),Americas,Latin America and the Caribbean
SPM,Saint-Pierre-et-Miquelon,Americas,Northern America
WSM,Samoa,Oceania,Polynesia
SMR,San Marino,Europe,Southern Europe
STP,Sao Tome and Principe,Africa,Sub-Saharan Africa
SAU,Saudi Arabia,Asia,Western Asia
SEN,Senegal,Africa,Sub-Saharan Africa
SRB,Serbia and Kosovo: S/RES/1244 (1999),Europe,Southern Europe
SYC,Seychelles,Africa,Sub-Saharan Africa
SLE,Sierra Leone,Africa,Sub-Saharan Africa
SGP,Singapore,Asia,South-eastern Asia
SXM,Sint Maarten (Dutch part),Americas,Latin America and the Caribbean
SVK,Slovakia,Europe,Eastern Europe
SVN,Slovenia,Europe,Southern Europe
SLB,Solomon Islands,Oceania,Melanesia
SOM,Somalia,Africa,Sub-Saharan Africa
ZAF,South Africa,Africa,Sub-Saharan Africa
SGS,South Georgia and the South Sandwich Islands,Americas,Latin America and the Caribbean
SSD,South Sudan,Africa,Sub-Saharan Africa
ESP,Spain,Europe,Southern Europe
LKA,Sri Lanka,Asia,Southern Asia
PSE,State of Palestine,Asia,Western Asia
XXA,Stateless,NA,NA
SDN,Sudan,Africa,Northern Africa
SUR,Suriname,Americas,Latin America and the Caribbean
SJM,Svalbard and Jan Mayen,Europe,Northern Europe
SWE,Sweden,Europe,Northern Europe
CHE,Switzerland,Europe,Western Europe
SYR,Syrian Arab Rep.,Asia,Western Asia
TJK,Tajikistan,Asia,Central Asia
THA,Thailand,Asia,South-eastern Asia
NA,Tibetan,NA,NA
TLS,Timor-Leste,Asia,South-eastern Asia
TGO,Togo,Africa,Sub-Saharan Africa
TON,Tonga,Oceania,Polynesia
TTO,Trinidad and Tobago,Americas,Latin America and the Caribbean
TUN,Tunisia,Africa,Northern Africa
TKM,Turkmenistan,Asia,Central Asia
TCA,Turks and Caicos Islands,Americas,Latin America and the Caribbean
TUV,Tuvalu,Oceania,Polynesia
TUR,Türkiye,Asia,Western Asia
UGA,Uganda,Africa,Sub-Saharan Africa
UKR,Ukraine,Europe,Eastern Europe
ARE,United Arab Emirates,Asia,Western Asia
GBR,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe
TZA,United Rep. of Tanzania,Africa,Sub-Saharan Africa
USA,United States of America,Americas,Northern America
XXX,Unknown,NA,NA
URY,Uruguay,Americas,Latin America and the Caribbean
UZB,Uzbekistan,Asia,Central Asia
VUT,Vanuatu,Oceania,Melanesia
VEN,Venezuela (Bolivarian Republic of),Americas,Latin America and the Caribbean
VNM,Viet Nam,Asia,South-eastern Asia
ESH,Western Sahara,Africa,Northern Africa
YEM,Yemen,Asia,Western Asia
ZMB,Zambia,Africa,Sub-Saharan Africa
ZWE,Zimbabwe,Africa,Sub-Saharan Africa
