local_compania,ano,origem_cacau,ingredientes,caracteristicas,percentagem_cacau,ID
Canada,2015,Venezuela,"2- B,S","sandy, roasty, nutty",70%,94
Canada,2015,Peru,"2- B,S","rich, sour, mild smoke",68%,95
Italy,2006,Blend,"4- B,S,C,V","red wine, rich cocoa, long",66%,96
Italy,2007,Ecuador,"4- B,S,C,V","creamy, earthy, vegetal",70%,97
Italy,2007,Jamaica,"4- B,S,C,V","sandy, woody, spicy",70%,98
Italy,2007,Grenada,"4- B,S,C,V",fruity with coffee notes,70%,99
Italy,2007,Trinidad,"4- B,S,C,V","coffee, fruit, woodsy",70%,100
Italy,2007,Blend,"4- B,S,C,V","fatty, dairy, caramel, cocoa",63%,101
Italy,2007,Venezuela,"4- B,S,C,V","creamy, fruit, cocoa",70%,102
Italy,2012,Peru,"4- B,S,C,V","creamy, raspberry, nutty",70%,103
Italy,2018,Madagascar,"4- B,S,C,V","vanilla, mint, roasty",70%,104
Italy,2018,Venezuela,"4- B,S,C,V","vanilla, nuts, roasty",70%,105
Italy,2018,Venezuela,"4- B,S,C,V","nutty, mild roasty, vanilla",70%,106
Italy,2018,Blend,"4- B,S,C,V","sweet, delicate, complex",75%,107
Italy,2019,Blend,"3- B,S,C","nut, fatty, rubbery, rich",70%,108
Brazil,2010,Brazil,"4- B,S,C,L","creamy, red berry, bitter",85%,109
Brazil,2010,Brazil,"4- B,S,C,L","very sweet, bright red, banana",50%,110
Brazil,2010,Brazil,"4- B,S,C,L","roasty, fatty, nutty, coffee",75%,111
Brazil,2010,Brazil,"4- B,S,C,L","creamy, sweet,cocoa,banana",60%,112
Brazil,2013,Brazil,"4- B,S,C,L","grainy, sweet, poor aftertaste",75%,113
U.S.A.,2014,Dominican Republic,"2- B,S","chalky, mild fruit, burnt",75%,114
U.S.A.,2016,Bolivia,"2- B,S","light roast, caramel, cocoa",75%,115
U.S.A.,2021,Belize,"2- B,S","burnt toast, cherry",75%,116
U.S.A.,2021,Guatemala,"2- B,S","orange citrus, harsh earthiness",75%,117
France,2014,Mexico,"3- B,S,C","earthy, sour milk, leather",72%,118
France,2014,Ecuador,"3- B,S,C","bitter, floral, leather",75%,119
France,2014,Madagascar,"3- B,S,C","sandy, fruity, short",75%,120
France,2014,Venezuela,"3- B,S,C","nutty, mild spice, mild earthy",75%,121
U.S.A.,2015,Brazil,"2- B,S","floral, chemical off",75%,122
U.S.A.,2015,Guatemala,"2- B,S","strawberry, butterscotch, off",70%,123
U.S.A.,2015,Brazil,"2- B,S","creamy, rich, rum, roasty",70%,124
U.S.A.,2015,Peru,"2- B,S","floral, nutty, rich cocoa",68%,125
U.S.A.,2015,Dominican Republic,"2- B,S","spicy, brownie, nutty",70%,126
U.S.A.,2015,Ecuador,"3- B,S,C","intense, floral, bourbon",75%,127
U.S.A.,2015,Ecuador,"2- B,S","spicy, cocoa",70%,128
U.S.A.,2015,Belize,"2- B,S","floral, strawberry, metallic",70%,129
U.S.A.,2015,Nicaragua,"2- B,S","creamy,sticky, peanut butter",70%,130
U.S.A.,2016,Ecuador,"3- B,S,C","sticky, floral, roasty",70%,131
U.S.A.,2016,Ecuador,"3- B,S,C","chewy, mild floral",70%,132
U.S.A.,2016,Fiji,"2- B,S","smoke, hammy, cocoa base",70%,133
U.S.A.,2016,Vietnam,"2- B,S","earthy, nutty, cardboard",73%,134
U.S.A.,2016,Trinidad,"2- B,S","delicate, simple",70%,135
U.S.A.,2016,Vietnam,"3- B,S,C","cashew, roasty, chunky melt",73%,136
U.S.A.,2016,Guatemala,"2- B,S","subtle, mysterious",70%,137
U.S.A.,2016,Honduras,"2- B,S","nutty, green",70%,138
U.S.A.,2016,Tanzania,"2- B,S","appealing smoke, woody",70%,139
U.S.A.,2016,Nicaragua,"3- B,S,C","muddy, rich cocoa, raspberry",70%,140
U.S.A.,2016,Dominican Republic,"2- B,S","dark berry, chocolatey",70%,141
U.S.A.,2016,Costa Rica,"2- B,S","balanced, cherry, choco",70%,142
U.S.A.,2016,Peru,"2- B,S","creamy, complex, balanced",70%,143
U.S.A.,2017,India,"2- B,S","slight roasty, basic cocoa",70%,144
U.S.A.,2017,Madagascar,"3- B,S,C",sour fruit,70%,145
U.S.A.,2017,Vietnam,"3- B,S,C","rich cocoa, mild roasty",73%,146
U.S.A.,2017,Peru,"3- B,S,C","dried fruit, fig, anise",70%,147
U.S.A.,2017,Bolivia,"2- B,S","creamy, bright fruit",70%,148
U.S.A.,2017,Haiti,"2- B,S","long lasting, cocoa",70%,149
U.S.A.,2018,Trinidad,"2- B,S","nuts, dried fruit, short",70%,150
U.S.A.,2018,Colombia,"2- B,S","smooth, nutty, cocoa",70%,151
U.S.A.,2019,India,"3- B,S,C","burn butterscotch, rubbery",70%,152
U.S.A.,2019,India,"3- B,S,C","herbs, mushroom, acidic",70%,153
Nicaragua,2018,Nicaragua,"2- B,S","cocoa, earthy, hammy",70%,154
Nicaragua,2018,Nicaragua,"2- B,S","melon, late hammy",70%,155
Nicaragua,2018,Nicaragua,"2- B,S","smooth, vegetal",70%,156
Nicaragua,2018,Nicaragua,"2- B,S","roasty, rich cocoa",70%,157
U.K.,2008,Congo,"3- B,S,C","spicy, minty, vegetal",72%,158
U.K.,2009,Brazil,"3- B,S,C","cocoa, dominate off note",72%,159
U.K.,2009,Venezuela,"3- B,S,C","oily, nutty, burnt, sour",75%,160
U.K.,2009,Indonesia,"3- B,S,C","gritty, very smokey, sour",72%,161
U.K.,2009,Madagascar,"3- B,S,C","sl. bitter, cherry, rich",80%,162
U.K.,2009,Peru,"3- B,S,C","spicey, mild metallic",75%,163
U.K.,2009,Dominican Republic,"3- B,S,C","spice, cocoa, short",72%,164
U.K.,2010,Costa Rica,"3- B,S,C","chewy, grassy, nutty",72%,166
U.K.,2010,Vietnam,"3- B,S,C","unrefined, distinct spicey",72%,167
U.K.,2010,Indonesia,"3- B,S,C",black pepper and banana,72%,168
U.K.,2010,Jamaica,"3- B,S,C","grassy, black licorice, mint",72%,169
U.K.,2011,Panama,"3- B,S,C","blackpepper,chemical,rubber",72%,170
U.K.,2011,Haiti,"3- B,S,C","nuts, butterscotch, brownie",72%,171
U.K.,2012,Colombia,"3- B,S,C","marshmallow, roasty, nutty",72%,172
U.K.,2013,Trinidad,"3- B,S,C","gritty, nutty",72%,173
U.K.,2013,Colombia,"4- B,S,C,L","creamy, marshmallow, off",72%,174
Italy,2021,India,"4- B,S,C,L","cinamon, nutmeg, fatty",72%,175
Italy,2021,Madagascar,"4- B,S,C,L","strawberry, sour",72%,176
Italy,2021,Tanzania,"4- B,S,C,L","caramel, sour milk",72%,177
U.S.A.,2007,Mexico,"2- B,S","leather, black licorice, off",75%,178
U.S.A.,2007,Ecuador,"2- B,S","smooth, astringent, cocoa",70%,179
U.S.A.,2009,Philippines,"2- B,S","strawberries, mild tart, roasty",77%,180
U.S.A.,2011,Tanzania,"2- B,S","creamy, woody, cocoa",72%,181
U.S.A.,2011,Honduras,"2- B,S","grapes, woody, roasty",70%,182
U.S.A.,2016,Tanzania,"3- B,S,C","creamy, rich, blueberry",68%,183
Australia,2019,Solomon Islands,"4- B,S,C,L","off aroma,vegetal,honey,sandy",70%,184
Philippines,2018,Philippines,"4- B,S,V,L","sandy, vanilla",77%,185
Philippines,2018,Philippines,"3- B,S,C","waxy, dried fruit",70%,186
Philippines,2018,Philippines,"3- B,S,C","sandy, roasty, nutty",70%,187
Philippines,2018,Philippines,"3- B,S,C","long, bright fruit, sweet, sour",70%,188
Canada,2021,Colombia,"2- B,S","chemical, spice, earthy",70%,189
Canada,2021,Dominican Republic,"2- B,S","intense, sour tart plum, rubber",70%,190
Australia,2012,Brazil,"2- B,S","chalky, intense, chemical",70%,191
Australia,2012,Blend,"2- B,S","chalky, fragrant, then off",70%,192
Australia,2012,Madagascar,"2- B,S","unrefined, flat, grassy",70%,193
Australia,2015,Blend,"2- B,S","coarse, smokey, metallic",80%,194
Australia,2015,Papua New Guinea,"2- B,S","smoke, ham, papaya",70%,195
Brazil,2018,Brazil,"2- B,S","bland, sugary, large grits",70%,196
Peru,2015,Peru,"3- B,S,C","molasses, caramel, pungent",70%,197
Peru,2015,Peru,"3- B,S,C","black pepper, cardamom",70%,198
U.S.A.,2019,Belize,"3- B,S,C","gritty, fatty, sour, off",72%,199
U.S.A.,2019,Uganda,"3- B,S,C","bitter, fatty, mild fruit",82%,200
U.S.A.,2019,Tanzania,"3- B,S,C","base cocoa, mild fruit, roasty",72%,201
U.S.A.,2012,Dominican Republic,"2- B,S","complex,black pepper,coffee",70%,202
U.S.A.,2012,Mexico,"2- B,S","molasses,toffee,coffee grounds",70%,203
U.S.A.,2012,Madagascar,"2- B,S","raspberry, mild sour",70%,204
U.S.A.,2014,Peru,"2- B,S","creamy, rounded, orange",70%,205
U.S.A.,2015,Brazil,"2- B,S","intense, smokey, dried fruit",70%,206
U.S.A.,2017,Costa Rica,"2- B,S","slightly dry, cocoa, berry",72%,207
U.S.A.,2017,Trinidad,"2- B,S","intense, tangy, alcohol",80%,208
Wales,2012,Costa Rica,"4- B,S,C,V","gritty, floral, vanilla",80%,209
U.S.A.,2016,Ecuador,"3- B,S,C","sandy, floral, sweet",65%,210
U.S.A.,2016,Dominican Republic,"3- B,S,C","creamy, sweet, fudgey",65%,211
U.S.A.,2016,Brazil,"3- B,S,C","strawberry, candy flavor",70%,212
U.K.,2019,Peru,"4- B,S,C,V","strong vanilla, off notes",70%,213
U.K.,2017,Malaysia,"3- B,S,C","caramel, spice, earthy",73%,214
U.K.,2017,Malaysia,"3- B,S,C","smokey, woody, tobacco",72%,215
U.S.A.,2016,Brazil,"3- B,S,C","intense, bitter, dry",80%,216
U.S.A.,2016,Dominican Republic,"3- B,S,C","sandy, sweet, molasses",70%,217
U.S.A.,2016,Ecuador,"3- B,S,C","intense, floral, black pepper",70%,218
U.S.A.,2016,Ecuador,"3- B,S,C","intense floral, bitter, earthy",90%,219
Belgium,2010,Costa Rica,"4- B,S,C,L","pastey, nutty",64%,220
Belgium,2010,Papua New Guinea,"4- B,S,C,L","intense, smokey",64%,221
Belgium,2010,Peru,"4- B,S,C,L","sticky, moss, nuts",64%,222
Belgium,2010,Ecuador,"4- B,S,C,L","dry, cinamon, nutmeg",71%,223
U.S.A.,2016,Bolivia,"3- B,S,C","oily, complex, pungent",70%,224
U.S.A.,2016,Tanzania,"3- B,S,C","sticky, delicate, melon",70%,225
U.S.A.,2016,Dominican Republic,"2- B,S","caramel, mild dried fruit",70%,226
Vietnam,2018,Vietnam,"3- B,S,C","high acidity, nutty, roasty",75%,227
Vietnam,2021,Vietnam,"3- B,S,C",dominate cocoa notes,70%,228
Germany,2016,Belize,"3- B,S,C","unbalanced, tangy, pungent",83%,229
Germany,2016,Belize,"3- B,S,C","sweet, nibby, green",78%,230
Germany,2016,Belize,"3- B,S,C","balanced, complex, berry",83%,231
Singapore,2018,Vietnam,"4- B,S,C,L","gummy, roasty, fatty",72%,232
Singapore,2018,India,"4- B,S,C,L","gummy, fatty, sour",72%,233
Singapore,2018,Malaysia,"4- B,S,C,L","off aroma, smokey, off note",72%,234
Belgium,2011,Madagascar,"3- B,S,C","intense,red berry,strawberry",72%,235
Belgium,2011,Indonesia,"3- B,S,C","smokey, raspberries, cocoa",72%,236
Belgium,2013,Cuba,"3- B,S,C","tobacco, dairy, sour",74%,237
Belgium,2013,Venezuela,"3- B,S,C","nutty, roasty, dairy",74%,238
Belgium,2013,Venezuela,"3- B,S,C","mocha, intense, sweet",74%,239
Belgium,2013,Ecuador,"3- B,S,C",cinamon and nutmeg,73%,240
France,2012,Blend,"5- B,S,C,V,L","sweet, vanilla, cocoa",55%,241
Switzerland,2010,Venezuela,"3- B,S,C","creamy, macadamia, pepper",70%,242
Switzerland,2010,Venezuela,"3- B,S,C","nutty, light toffee, mild musty",74%,243
Switzerland,2010,Indonesia,"3- B,S,C","ham-like, smokey, banana",64%,244
Switzerland,2010,Venezuela,"3- B,S,C","dark cocoa, spicy pepper",72%,245
Switzerland,2011,Madagascar,"3- B,S,C","chunky, nutty, banana",64%,246
Switzerland,2011,Venezuela,"3- B,S,C","bitter then nutty rustic, earthy",88%,247
Switzerland,2011,Venezuela,"3- B,S,C","creamy, banana, rich",72%,248
Switzerland,2011,Ecuador,"3- B,S,C","creamy, nutty, cocoa",72%,249
U.S.A.,2015,Nicaragua,"2- B,S","bitter, molasses, flour",76%,250
U.S.A.,2015,Costa Rica,"2- B,S","molasses, metallic, earthy",76%,251
U.S.A.,2015,Costa Rica,"4- B,S,C,V","sour, tart, molasses",78%,252
U.S.A.,2015,Belize,"4- B,S,C,V","mild bitter, diluted, vanilla",86%,253
Venezuela,2018,Venezuela,"4- B,S,C,L","gritty, spicy, earthy",70%,254
Venezuela,2018,Venezuela,"4- B,S,C,L","fatty, bland, nutty",70%,255
Venezuela,2018,Venezuela,"4- B,S,C,L","smooth texture, earthy, nutty",70%,256
U.S.A.,2008,Madagascar,"2- B,S","rich cocoa, red berry, sour",71%,257
U.S.A.,2008,Ghana,"2- B,S","nutmeg, sour",70%,258
U.S.A.,2008,Panama,"2- B,S","intense, rum, tea",75%,259
U.S.A.,2008,Dominican Republic,"2- B,S","nutty, astringent",68%,260
U.S.A.,2009,Dominican Republic,"2- B,S","chalky, strong, harsh smoke",75%,261
U.S.A.,2009,Madagascar,"2- B,S","rustic, red berry, woody",75%,262
U.S.A.,2009,Dominican Republic,"2- B,S","intense marshmallow, cocoa",65%,263
U.S.A.,2009,Madagascar,"2- B,S",chocolate covered cherries,65%,264
U.S.A.,2010,Indonesia,"2- B,S","pastey, off spicey, nutty",65%,265
U.S.A.,2010,Madagascar,"2- B,S","red berry, strong wine, sour",70%,266
U.S.A.,2010,Venezuela,"2- B,S","nutty, mild bitter",78%,267
U.S.A.,2010,Indonesia,"2- B,S","dry, cardamom, medicinal",75%,268
U.S.A.,2010,Blend,"2- B,S","robust, cocoa, fruity",70%,269
U.S.A.,2012,Ghana,"3- B,S,C","roasted nuts, rich, roasty",72%,270
U.S.A.,2018,Haiti,"2- B,S","floral, molasses, chemical",70%,271
U.S.A.,2018,Guatemala,"2- B,S","molasses, earthy, spicy",70%,272
U.S.A.,2018,Dominican Republic,"2- B,S","sweet, sour milk",70%,273
U.S.A.,2019,Belize,"2- B,S","off, rubbery, burnt molasses",70%,274
U.S.A.,2008,Dominican Republic,"3- B,S,C","unrefined, fruity",70%,275
U.S.A.,2008,Venezuela,"3- B,S,C","sweet grass, muted spice",70%,276
U.S.A.,2008,Nicaragua,"3- B,S,C","rich, leather, woodsy",70%,277
U.S.A.,2021,Dominican Republic,"4- B,S,C,L","bright fruit, crisp nibs, cocoa",70%,278
U.K.,2014,Jamaica,"4- B,S,C,L","fatty, nutty",70%,279
U.S.A.,2021,Colombia,"3- B,S,C","burnt caramel, cocoa, floral",72%,280
U.S.A.,2021,Belize,"3- B,S,C",honey with subtle tobacco,72%,281
Spain,2009,Blend,"4- B,S,C,V","oily, flat, woody, sour",72%,282
Spain,2013,Congo,"4- B,S,C,V","complex, fruity, mild bitter",82%,283
U.S.A.,2012,Guatemala,"3- B,S,C","chewy, complex,black pepper",70%,284
U.S.A.,2012,Madagascar,"3- B,S,C","gritty, tart red berry,powerful",70%,285
U.S.A.,2016,Guatemala,"2- B,S","roasty, coffee, earthy",75%,286
U.S.A.,2016,Dominican Republic,"2- B,S","astringent, sour, coffee",75%,287
U.S.A.,2016,Madagascar,"2- B,S","sandy, tart, sour, sweet",82%,288
U.S.A.,2016,Tanzania,"2- B,S","bready, melon",75%,289
U.S.A.,2017,Belize,"3- B,S,C",pungent off flavor,70%,290
Malaysia,2019,Malaysia,"2- B,S","sweet, dirty, off notes",68%,291
Malaysia,2019,Malaysia,"2- B,S","sweet, fruit, chemical off note",72%,292
Malaysia,2019,Malaysia,"2- B,S","grassy, savory, sour",74%,293
France,2006,Sri Lanka,"3- B,S,C","vegetal, dominant tobacco",75%,295
France,2006,Blend,"3- B,S,C","spice, woodsy, long lasting",75%,296
France,2006,Venezuela,"3- B,S,C","sandy, creamy, berry",75%,297
France,2006,Madagascar,"3- B,S,C","mellow, tart, coffee",75%,298
France,2006,Venezuela,"3- B,S,C","creamy, fatty, floral",75%,299
France,2006,Venezuela,"3- B,S,C","creamy, coconut, tang",75%,300
France,2007,Ecuador,"3- B,S,C","dry, floral, bitter",75%,301
France,2008,Venezuela,"3- B,S,C","creamy, strawberry, nutty",75%,302
France,2009,Peru,"3- B,S,C","flat, bread, earthy",75%,303
France,2009,Ivory Coast,"3- B,S,C","oily, intense cocoa, sl. Burnt",75%,304
France,2009,Mexico,"3- B,S,C","mild bitter, nut, possible mold",75%,305
France,2009,Mexico,"3- B,S,C","fatty, roasty, earthy",75%,306
France,2011,Jamaica,"3- B,S,C","oily, creamy, woody",75%,307
France,2011,Cuba,"3- B,S,C","fatty, raisin, grape",75%,308
France,2011,Peru,"3- B,S,C","roasty, woody, mint",75%,309
France,2011,Peru,"3- B,S,C","creamy, cocoa, smokey",75%,310
France,2011,Brazil,"3- B,S,C","oily,fatty, rich, nutty",75%,311
France,2011,Brazil,"3- B,S,C","chunky, very grassy, mild mint",75%,312
France,2011,Haiti,"3- B,S,C","grassy, black pepper",75%,313
France,2011,Madagascar,"3- B,S,C","fatty, spicy, gentle roast",75%,314
France,2013,Gabon,"3- B,S,C","fatty, roasty, black pepper",75%,315
France,2013,Brazil,"3- B,S,C","oily, roasted nuts, rich cocoa",75%,316
France,2014,Dominican Republic,"3- B,S,C","roasty, tobacco, earthy",75%,317
France,2014,Blend,"3- B,S,C","complex, brownie,mint, spice",65%,318
France,2014,Brazil,"3- B,S,C","creamy, homey, nutty",75%,319
France,2016,Mexico,"3- B,S,C","heavy roast, fatty, gateway",75%,320
France,2018,Peru,"3- B,S,C","oily, subtle, mild coffee",75%,321
France,2018,Blend,"3- B,S,C","creamy, rich, complex",75%,322
France,2021,Nicaragua,"3- B,S,C","bold, woody, nut, roasty, creamy",75%,323
Ecuador,2009,Ecuador,"2- B,S","sticky, lavendar, molasses",77%,325
U.S.A.,2018,Ecuador,"3- B,S,C","balanced, floral, honey",75%,328
U.S.A.,2018,Peru,"3- B,S,C","sweet, rich mocha, acidic",70%,329
U.S.A.,2018,Bolivia,"3- B,S,C","nuts, fruit",70%,330
U.S.A.,2021,Tanzania,"3- B,S,C","very sweet, melon, caramel",62%,331
U.S.A.,2013,Dominican Republic,"5- B,S,C,V,L","oily, vanilla, caramel, dairy",72%,332
U.S.A.,2013,Ecuador,"5- B,S,C,V,L","intense, alocohol, floral",70%,333
U.S.A.,2013,Ghana,"5- B,S,C,V,L","fatty, brownie, nutty",75%,334
U.S.A.,2013,Venezuela,"5- B,S,C,V,L","intense, cooked banana",85%,335
U.S.A.,2014,Belize,"3- B,S,C","intense, cocoa, complex",70%,336
U.S.A.,2014,Venezuela,"3- B,S,C","intense, raisins, roasty",70%,337
U.S.A.,2015,Dominican Republic,"3- B,S,C","complex, brownie, lime, rich",68%,338
U.S.A.,2016,Venezuela,"3- B,S,C","nutty, slight hammy, rich",70%,339
U.S.A.,2016,Nicaragua,"3- B,S,C","simple, rich cocoa",70%,340
U.S.A.,2017,Dominican Republic,"3- B,S,C","earthy, cherries",70%,341
U.S.A.,2017,Ecuador,"3- B,S,C","sandy, floral, honey",75%,342
U.S.A.,2015,Madagascar,"3- B,S,C","bitter, tart, acidic",80%,343
U.S.A.,2015,Dominican Republic,"3- B,S,C","roasty, sweet, brownie",60%,344
U.S.A.,2015,Dominican Republic,"3- B,S,C","bitter, dark berry, fatty",80%,345
U.S.A.,2015,Belize,"3- B,S,C","mild smoke, raisins, coffee",80%,346
U.S.A.,2015,Madagascar,"3- B,S,C","citrus, sweet, cocoa",60%,347
U.S.A.,2015,Guatemala,"2- B,S","tart, tea, leather, sour",70%,348
U.S.A.,2013,Jamaica,"4- B,S,C,V","chalky, sandy, tart, bland",70%,349
Australia,2014,Trinidad,"3- B,S,C","fatty, sweet, metallic",68%,350
Australia,2014,Madagascar,"3- B,S,C","sweet, mild molasses, bland",72%,351
Australia,2014,Dominican Republic,"3- B,S,C","spicy, black pepper, banana",70%,352
Australia,2014,Ecuador,"3- B,S,C","floral, banana",72%,353
Russia,2015,Ecuador,"2- B,S","powdery, floral, molasses",70%,354
